Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,PSxG+/-,Opp,Stp,Stp%
Aarón Escandell,ESP,GK,Las Palmas,La Liga,27,1995,2,1,153,1.7,3,1.76,4,1,25.0,0,0.0,2.5,0.62,-0.5,24,1,4.2
Aaron Ramsdale,ENG,GK,Arsenal,Premier League,25,1998,6,6,540,6.0,5,0.83,14,9,64.3,2,33.3,3.7,0.26,-1.3,46,8,17.4
Aitor Fernández,ESP,GK,Osasuna,La Liga,32,1991,7,6,551,6.1,9,1.47,20,11,60.0,1,16.7,6.1,0.26,-2.9,69,1,1.4
Alaa Bellaarouch,MAR,GK,Strasbourg,Ligue 1,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,2,13.3,19.8,0.25,-5.2,203,19,9.4
Alban Lafont,FRA,GK,Nantes,Ligue 1,24,1999,28,28,2496,27.7,43,1.55,118,75,70.3,7,25.0,42.4,0.31,-0.6,385,33,8.6
Alessandro Sorrentino,ITA,GK,Monza,Serie A,21,2002,7,5,548,6.1,16,2.63,32,16,62.5,0,0.0,14.4,0.34,-1.6,62,3,4.8
Alessio Cragno,ITA,GK,Sassuolo,Serie A,29,1994,3,3,270,3.0,7,2.33,14,8,57.1,0,0.0,5.1,0.3,-0.9,37,3,8.1
Alex Meret,ITA,GK,Napoli,Serie A,26,1997,31,31,2773,30.8,40,1.3,104,62,63.5,5,16.1,38.0,0.33,-2.0,334,9,2.7
Álex Remiro,ESP,GK,Real Sociedad,La Liga,28,1995,37,37,3275,36.4,36,0.99,130,94,76.2,15,40.5,37.9,0.26,2.9,383,18,4.7
Alexander Brunst,GER,GK,Darmstadt 98,Bundesliga,28,1995,3,3,270,3.0,10,3.33,17,7,41.2,0,0.0,6.3,0.37,-3.7,51,3,5.9
Alexander Meyer,GER,GK,Dortmund,Bundesliga,32,1991,8,7,695,7.7,9,1.17,27,19,66.7,3,42.9,7.8,0.3,-0.2,107,8,7.5
Alexander Nübel,GER,GK,Stuttgart,Bundesliga,26,1996,30,30,2700,30.0,36,1.2,107,74,69.2,11,36.7,30.8,0.27,-2.2,341,30,8.8
Alexander Schwolow,GER,GK,Union Berlin,Bundesliga,31,1992,1,1,90,1.0,2,2.0,6,4,66.7,0,0.0,1.2,0.2,-0.8,13,0,0.0
Alexandre Oukidja,ALG,GK,Metz,Ligue 1,35,1988,34,34,2987,33.2,57,1.72,185,128,72.4,6,17.6,52.3,0.26,-4.7,569,46,8.1
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28,28,2520,28.0,30,1.07,109,80,73.4,8,28.6,28.7,0.26,-0.3,299,13,4.3
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,31,31,2699,30.0,53,1.77,188,136,74.5,4,12.9,52.1,0.24,2.1,468,27,5.8
Álvaro Vallés,ESP,GK,Las Palmas,La Liga,26,1997,37,37,3263,36.3,44,1.21,152,108,74.3,8,21.6,48.7,0.28,7.7,521,29,5.6
