Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Tkl,TklW,DTkl,DTklAtt,Tkl%,Blocks,Int,Clr,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA
Aaron Cresswell,ENG,"DF,FW",West Ham,Premier League,33,1989,11,4,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,3,2,2,3,66.7,5,3,7,254,308,82.5,4176,1722,-0.4,5,15,4
Aaron Hickey,SCO,DF,Brentford,Premier League,21,2002,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,16,9,7,7,100.0,7,3,10,243,277,87.7,3813,894,-0.1,1,10,2
Aarón Martín,ESP,DF,Genoa,Serie A,26,1997,22,17,1376,15.3,0,1,1,0,0,0,4,1,0.2,0.2,1.7,1.9,0.0,0.07,0.07,0.01,0.11,0.12,0.01,0.12,21,10,9,22,40.9,12,9,15,431,619,69.6,7748,2727,-0.7,26,26,16
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,25,1997,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,0.0,0.1,0.1,0.01,0.08,0.08,0.01,0.08,42,25,19,26,73.1,29,41,68,823,986,83.5,10824,3539,0.5,12,51,16
Abakar Sylla,CIV,DF,Strasbourg,Ligue 1,20,2002,22,19,1792,19.9,2,0,2,2,0,0,4,0,1.6,1.6,0.5,2.0,0.1,0.0,0.1,0.08,0.02,0.1,0.08,0.1,54,23,29,40,72.5,40,26,70,1111,1266,87.8,19769,6698,-0.5,5,52,4
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,35,19,21,35,60.0,31,23,115,553,762,72.6,12370,4872,-0.2,3,61,2
Abdoul Koné,FRA,DF,Reims,Ligue 1,18,2005,3,3,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,7,7,4,11,36.4,2,2,9,53,85,62.4,1041,401,-0.7,2,6,1
Abdukodir Khusanov,UZB,DF,Lens,Ligue 1,19,2004,11,9,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,21,12,9,17,52.9,13,13,32,383,439,87.2,7213,2415,-0.1,1,28,1
Abdul Mumin,GHA,DF,Rayo Vallecano,La Liga,25,1998,20,19,1694,18.8,1,0,1,1,0,0,5,1,0.4,0.4,0.3,0.7,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,19,10,8,10,80.0,27,22,82,617,773,79.8,12936,4915,-0.3,4,34,4
Abner,BRA,DF,Betis,La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,0.0,0.06,0.06,0.01,0.06,0.07,0.01,0.07,25,19,17,34,50.0,23,15,62,615,797,77.2,9211,4552,0.0,8,20,7
Achraf Dari,MAR,"DF,FW",Brest,Ligue 1,24,1999,4,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,1,1,0,2,0.0,2,5,9,73,85,85.9,1773,564,0.0,0,4,0
Achraf Hakimi,MAR,DF,Paris S-G,Ligue 1,24,1998,25,20,1932,21.5,4,5,9,4,0,0,3,0,4.2,4.2,5.2,9.4,0.19,0.23,0.42,0.2,0.24,0.44,0.2,0.44,29,19,17,34,50.0,28,12,28,1712,1979,86.5,25356,8074,-0.2,43,153,45
Adam Marušić,MNE,DF,Lazio,Serie A,30,1992,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,0.03,0.0,0.03,0.01,0.02,0.04,0.01,0.04,45,31,27,49,55.1,27,29,63,1560,1880,83.0,24140,9157,-0.8,10,110,24
Adam Masina,MAR,DF,Torino,Serie A,29,1994,16,10,1024,11.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,17,12,5,20,25.0,12,11,30,557,652,85.4,9669,4033,-0.2,3,35,4
Adam Masina,MAR,DF,Udinese,Serie A,29,1994,4,1,64,0.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,4,0,2,4,50.0,2,2,5,22,30,73.3,345,153,0.0,0,0,0
Adam Obert,SVK,DF,Cagliari,Serie A,20,2002,17,10,941,10.5,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1.1,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,17,9,8,17,47.1,13,21,41,372,474,78.5,7539,2700,-0.9,6,40,10
Adam Smith,ENG,DF,Bournemouth,Premier League,32,1991,28,25,2150,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,0.0,0.08,0.08,0.0,0.05,0.06,0.0,0.06,37,23,19,39,48.7,28,21,62,782,1025,76.3,12722,5225,0.7,17,58,23
Adam Webster,ENG,DF,Brighton,Premier League,28,1995,15,13,1144,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,14,12,6,18,33.3,16,16,43,997,1096,91.0,16938,5838,-0.1,5,92,4
Adri Bosch,ESP,DF,Granada,La Liga,22,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,,0,0,1,11,14,78.6,211,61,0.0,0,2,0
Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,16,7,9,24,37.5,18,5,18,389,465,83.7,6578,2133,-0.1,2,25,5
Adrià Pedrosa,ESP,DF,Sevilla,La Liga,25,1998,31,15,1753,19.5,1,4,5,1,0,0,1,0,0.7,0.7,3.2,3.9,0.05,0.21,0.26,0.04,0.16,0.2,0.04,0.2,46,26,23,34,67.6,26,15,54,681,931,73.1,10819,3651,0.8,27,42,18
Adrien Tameze,CMR,"DF,MF",Torino,Serie A,29,1994,29,25,2146,23.8,0,2,2,0,0,0,6,1,0.7,0.7,2.2,2.9,0.0,0.08,0.08,0.03,0.09,0.12,0.03,0.12,35,16,18,37,48.6,24,47,25,1106,1276,86.7,18937,5466,-0.2,19,81,10
Adrien Truffert,FRA,DF,Rennes,Ligue 1,21,2001,30,24,2145,23.8,1,2,3,1,0,0,6,0,1.7,1.7,1.8,3.5,0.04,0.08,0.13,0.07,0.08,0.15,0.07,0.15,39,21,25,40,62.5,31,19,49,1047,1333,78.5,16183,5530,0.2,19,55,22
Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,1,3,5,5,100.0,75,28,0.0,0,0,0
Ahmed Touba,ALG,DF,Lecce,Serie A,25,1998,6,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,6,4,3,4,75.0,4,7,20,115,137,83.9,2095,472,0.0,0,4,0
Aiham Ousou,SYR,DF,Cádiz,La Liga,23,2000,6,5,430,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,8,5,5,5,100.0,1,7,15,142,181,78.5,2765,900,0.0,0,6,2
Aihen Muñoz,ESP,DF,Real Sociedad,La Liga,25,1997,21,11,1127,12.5,0,2,2,0,0,0,2,0,0.3,0.3,2.0,2.2,0.0,0.16,0.16,0.02,0.16,0.18,0.02,0.18,36,21,24,35,68.6,16,9,33,504,702,71.8,9001,4109,0.0,12,35,11
Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,Ligue 1,25,1997,23,16,1432,15.9,1,4,5,0,1,1,1,1,3.0,2.2,2.1,4.2,0.06,0.25,0.31,0.19,0.13,0.32,0.14,0.27,34,18,19,37,51.4,16,17,29,663,796,83.3,10343,3289,1.9,18,45,17
Aïssa Mandi,ALG,DF,Villarreal,La Liga,31,1991,16,12,1113,12.4,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,0.08,0.0,0.08,0.05,0.05,0.1,0.05,0.1,13,8,7,14,50.0,10,8,41,671,734,91.4,13380,5393,-0.7,2,57,4
Aitor Paredes,ESP,DF,Athletic Club,La Liga,23,2000,34,31,2704,30.0,1,0,1,1,0,0,9,1,1.2,1.2,0.2,1.4,0.03,0.0,0.03,0.04,0.01,0.05,0.04,0.05,20,11,7,14,50.0,23,33,104,1331,1556,85.5,26700,10013,-0.2,4,68,6
Aitor Ruibal,ESP,"DF,FW",Betis,La Liga,27,1996,18,11,1017,11.3,2,1,3,2,0,0,5,0,0.8,0.8,1.3,2.1,0.18,0.09,0.27,0.07,0.11,0.19,0.07,0.19,46,27,32,59,54.2,12,14,33,445,586,75.9,7163,2899,-0.3,11,37,14
Alan Matturro,URU,DF,Genoa,Serie A,18,2004,6,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,1,1,1,1,100.0,6,2,4,16,25,64.0,260,134,0.0,0,3,0
Alberto Dossena,ITA,DF,Cagliari,Serie A,24,1998,35,33,2977,33.1,2,4,6,2,0,0,5,0,2.2,2.2,2.1,4.3,0.06,0.12,0.18,0.07,0.06,0.13,0.07,0.13,55,35,32,48,66.7,50,45,172,1042,1305,79.8,22274,7809,1.9,12,71,4
Alberto Moreno,ESP,DF,Villarreal,La Liga,31,1992,27,17,1484,16.5,2,2,4,2,0,0,5,2,0.7,0.7,1.6,2.4,0.12,0.12,0.24,0.04,0.1,0.14,0.04,0.14,31,21,10,30,33.3,12,24,33,586,733,79.9,10373,3766,0.4,16,35,23
Alejandro Balde,ESP,DF,Barcelona,La Liga,19,2003,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,0.0,0.07,0.07,0.01,0.08,0.09,0.01,0.09,20,11,7,11,63.6,14,5,21,694,817,84.9,9879,2231,-0.2,13,26,20
Alejandro Jiménez,ESP,DF,Milan,Serie A,18,2005,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,2,1,2,5,40.0,0,0,4,39,43,90.7,628,179,-0.1,1,2,0
Alejandro Pozo Pozo,ESP,"DF,MF",Almería,La Liga,24,1999,21,9,976,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,19,12,12,20,60.0,14,7,21,443,598,74.1,7276,2929,-0.6,13,36,15
Aleksandar Radovanović,SRB,DF,Almería,La Liga,29,1993,9,8,569,6.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,8,7,6,6,100.0,8,11,48,181,197,91.9,3645,1019,0.0,1,1,0
Aleksandar Sedlar,SRB,DF,Alavés,La Liga,31,1991,11,11,946,10.5,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,0.1,0.0,0.1,0.03,0.01,0.03,0.03,0.03,14,10,10,16,62.5,8,13,43,343,405,84.7,6944,2813,-0.1,2,31,0
Alessandro Bastoni,ITA,DF,Inter,Serie A,24,1999,28,28,2268,25.2,1,3,4,1,0,0,5,0,1.2,1.2,3.4,4.6,0.04,0.12,0.16,0.05,0.13,0.18,0.05,0.18,46,33,26,40,65.0,25,23,48,1671,1935,86.4,32047,10473,-0.4,22,135,35
Alessandro Buongiorno,ITA,DF,Torino,Serie A,24,1999,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,0.11,0.0,0.11,0.06,0.0,0.06,0.06,0.06,70,39,24,34,70.6,20,69,131,1012,1187,85.3,17567,5255,-0.1,4,28,4
Alessandro Dellavalle,ITA,DF,Torino,Serie A,19,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,1,1,0,5,6,83.3,132,51,0.0,0,1,0
Alessandro Di Pardo,ITA,"DF,MF",Cagliari,Serie A,24,1999,15,2,359,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,4,1,0,3,0.0,9,5,7,115,175,65.7,1822,700,-0.2,5,5,7
Alessandro Florenzi,ITA,DF,Milan,Serie A,32,1991,31,19,1732,19.2,1,4,5,1,0,0,5,0,1.7,1.7,3.4,5.1,0.05,0.21,0.26,0.09,0.18,0.26,0.09,0.26,43,21,26,48,54.2,16,20,25,1055,1277,82.6,19865,6858,0.6,45,97,25
Alessandro Vogliacco,ITA,DF,Genoa,Serie A,24,1998,20,14,1169,13.0,0,1,1,0,0,0,4,0,0.4,0.4,0.5,0.9,0.0,0.08,0.08,0.03,0.04,0.07,0.03,0.07,23,15,12,15,80.0,16,30,40,494,626,78.9,9349,3512,0.5,13,41,12
Alessandro Zanoli,ITA,DF,Salernitana,Serie A,22,2000,17,10,921,10.2,0,2,2,0,0,0,3,0,0.2,0.2,1.8,1.9,0.0,0.2,0.2,0.02,0.17,0.19,0.02,0.19,16,13,7,12,58.3,10,1,17,322,434,74.2,4696,1828,0.2,12,20,7
