Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Sh,SoT,SoT%,Sh/90,SoT/90,ShDist,npxG/Sh,G-xG,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA,PrgC,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,TOAtt,TOSucc,TOSucc%,Tkld,Tkld%,Carries,CTotDist,CPrgDist,C1/3,CPA,Rec
Aaron Malouda,FRA,FW,Lille,Ligue 1,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
Aaron Seydel,GER,FW,Darmstadt 98,Bundesliga,27,1996,16,5,619,6.9,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,0.15,0.0,0.15,0.15,0.1,0.25,0.15,0.25,14,6,42.9,2.04,0.87,16.8,0.07,0.0,110,190,57.9,1535,254,-0.7,9,9,1,7,35,283,13,20,136,128,31,11,3,27.3,7,63.6,123,451,117,3,3,214
Abde Ezzalzouli,MAR,"FW,MF",Barcelona,La Liga,21,2001,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,4,1,25.0,5.29,1.32,19.1,0.05,-0.2,23,37,62.2,289,83,-0.1,2,0,2,7,12,54,0,2,13,39,7,4,2,50.0,2,50.0,41,302,143,3,4,43
Abde Ezzalzouli,MAR,FW,Betis,La Liga,21,2001,26,6,865,9.6,1,0,1,1,0,1,1,0,3.0,2.2,0.3,2.5,0.1,0.0,0.1,0.31,0.03,0.34,0.23,0.26,33,8,24.2,3.43,0.83,17.8,0.07,-2.0,232,353,65.7,2777,769,-0.3,4,11,9,57,89,518,7,58,194,271,60,50,21,42.0,23,46.0,300,2801,1587,34,35,377
Abdellah Raihani,MAR,FW,Atlético Madrid,La Liga,19,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,0,0,,0,0,0.0,0,0,0,0,1,1,0,0,0,1,1,0,0,,0,,1,0,0,0,0,1
Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,24,1998,23,6,722,8.0,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,0.12,0.0,0.12,0.1,0.22,0.33,0.1,0.33,17,4,23.5,2.12,0.5,19.4,0.05,0.2,124,225,55.1,2213,845,-1.8,18,12,6,34,78,343,6,46,102,198,36,28,10,35.7,16,57.1,180,1419,763,15,18,196
Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,30,1992,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,0.43,0.07,0.5,0.23,0.17,0.4,0.23,0.4,33,14,42.4,2.34,0.99,14.8,0.1,2.8,132,240,55.0,2042,475,-1.4,14,12,8,9,49,376,16,34,171,181,43,18,8,44.4,10,55.6,183,830,285,9,5,266
Abdoul Kader Bamba,FRA,"FW,MF",Nantes,Ligue 1,29,1994,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,0.29,0.15,0.44,0.31,0.15,0.46,0.31,0.46,14,5,35.7,2.06,0.74,16.1,0.16,-0.1,267,336,79.5,4343,1133,0.0,11,18,10,41,73,423,8,46,177,204,26,31,10,32.3,14,45.2,346,2364,1179,25,13,327
Abdoulaye Doucouré,MLI,"FW,MF",Everton,Premier League,30,1993,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,0.24,0.03,0.27,0.3,0.1,0.4,0.3,0.4,47,21,44.7,1.61,0.72,12.2,0.2,-1.8,683,893,76.5,9807,2329,-1.9,34,43,18,55,140,1190,36,188,523,495,100,48,25,52.1,21,43.8,635,3292,1692,37,17,800
Adam Ounas,ALG,FW,Lille,Ligue 1,26,1996,17,3,418,4.6,1,0,1,1,0,0,0,0,0.6,0.6,1.9,2.6,0.22,0.0,0.22,0.14,0.41,0.55,0.14,0.55,9,3,33.3,1.94,0.65,18.6,0.07,0.4,138,194,71.1,2338,766,-1.9,13,7,11,20,40,253,2,27,102,133,15,25,16,64.0,6,24.0,198,1328,616,12,8,183
