Player,Market Value (Euros)
Thibaut Courtois,28000000.0
Andriy Lunin,25000000.0
Kepa Arrizabalaga,12000000.0
Éder Militão,60000000.0
Antonio Rüdiger,25000000.0
David Alaba,20000000.0
Ferland Mendy,22000000.0
Lucas Vázquez,4000000.0
Álvaro Odriozola,2500000.0
Aurélien Tchouaméni,100000000.0
Federico Valverde,120000000.0
Eduardo Camavinga,100000000.0
Toni Kroos,10000000.0
Dani Ceballos,6000000.0
Jude Bellingham,180000000.0
Brahim Díaz,40000000.0
Nico Paz,10000000.0
Rodrygo,110000000.0
Arda Güler,30000000.0
Joselu,5000000.0
Marc-André ter Stegen,28000000.0
Iñaki Peña,8000000.0
Ander Astralaga,1000000.0
Andreas Christensen,40000000.0
Pau Cubarsí,30000000.0
Eric García,20000000.0
Iñigo Martínez,5000000.0
Alejandro Balde,40000000.0
Marcos Alonso,2000000.0
Jules Koundé,45000000.0
João Cancelo,25000000.0
Oriol Romeu,2000000.0
Gavi,90000000.0
Pedri,80000000.0
Frenkie de Jong,70000000.0
Fermín López,30000000.0
İlkay Gündoğan,15000000.0
Sergi Roberto,2500000.0
Raphinha,50000000.0
Ansu Fati,25000000.0
Abde Ezzalzouli,9000000.0
Lamine Yamal,90000000.0
João Félix,30000000.0
Vitor Roque,30000000.0
Robert Lewandowski,15000000.0
Álex Remiro,25000000.0
Unai Marrero,300000.0
Robin Le Normand,40000000.0
Igor Zubeldia,22000000.0
Jon Pacheco,15000000.0
Aritz Elustondo,5000000.0
Kieran Tierney,12000000.0
Aihen Muñoz,8000000.0
Javi Galán,7000000.0
Diego Rico,1500000.0
Hamari Traoré,6000000.0
Álvaro Odriozola,2500000.0
Martín Zubimendi,50000000.0
Urko González de Zarate,1200000.0
Mikel Merino,50000000.0
Beñat Turrientes,20000000.0
Brais Méndez,40000000.0
Arsen Zakharyan,18000000.0
Pablo Marín,1500000.0
Ander Barrenetxea,20000000.0
Sheraldo Becker,10000000.0
Martín Merquelanz,600000.0
Takefusa Kubo,50000000.0
Mikel Oyarzabal,45000000.0
Umar Sadiq,10000000.0
André Silva,6000000.0
Jon Karrikaburu,2500000.0
Carlos Fernández,1500000.0
Jan Oblak,28000000.0
Mario Hermoso,25000000.0
José María Giménez,22000000.0
Çağlar Söyüncü,10000000.0
Axel Witsel,3500000.0
César Azpilicueta,2000000.0
Gabriel Paulista,2000000.0
Reinildo Mandava,9000000.0
Javi Galán,7000000.0
Nahuel Molina,28000000.0
Arthur Vermeeren,25000000.0
Rodrigo De Paul,30000000.0
Pablo Barrios,25000000.0
Koke,12000000.0
Saúl Ñíguez,7500000.0
Marcos Llorente,30000000.0
Thomas Lemar,10000000.0
Samuel Lino,30000000.0
Rodrigo Riquelme,25000000.0
Yannick Carrasco,14000000.0
Marcos Paulo,2000000.0
Vitolo,100000.0
Ángel Correa,18000000.0
João Félix,30000000.0
Antoine Griezmann,25000000.0
Álvaro Morata,16000000.0
Paulo Gazzaniga,4000000.0
Toni Fuidias,300000.0
Juan Carlos,200000.0
Eric García,20000000.0
Santiago Bueno,8000000.0
Daley Blind,3000000.0
David López,2500000.0
Juanpe,1000000.0
Bernardo Espinosa,550000.0
Eric Monjonell,200000.0
Miguel Gutiérrez,25000000.0
Yan Couto,25000000.0
Aleix García,25000000.0
Yangel Herrera,25000000.0
Jhon Solís,3000000.0
Iván Martín,15000000.0
Borja García,800000.0
Toni Villa,1500000.0
Portu,3500000.0
Valery Fernández,2500000.0
Artem Dovbyk,35000000.0
Cristhian Stuani,1800000.0
Unai Simón,30000000.0
Julen Agirrezabala,5000000.0
Aitor Paredes,22000000.0
Yeray Álvarez,8000000.0
Yuri Berchiche,1800000.0
Iñigo Lekue,3000000.0
Óscar de Marcos,1500000.0
Mikel Vesga,4000000.0
Peru Nolaskoain,1000000.0
Beñat Prados,15000000.0
Iñigo Ruiz de Galarreta,5000000.0
Ander Herrera,2000000.0
Dani García,1800000.0
Oihan Sancet,35000000.0
Unai Gómez,6000000.0
Iker Muniain,5000000.0
Raúl García,1500000.0
Nico Williams,60000000.0
Álex Berenguer,12000000.0
Iñaki Williams,25000000.0
Adu Ares,2000000.0
Gorka Guruzeta,18000000.0
Asier Villalibre,2500000.0
Filip Jørgensen,20000000.0
Pepe Reina,600000.0
Matteo Gabbia,8000000.0
Yerson Mosquera,6000000.0
Jorge Cuenca,6000000.0
Eric Bailly,3000000.0
Aïssa Mandi,1800000.0
Raúl Albiol,1500000.0
Alfonso Pedraza,5000000.0
Alberto Moreno,1800000.0
Carlos Romero,1500000.0
Juan Foyth,15000000.0
Adrià Altimira,2000000.0
Kiko Femenía,1400000.0
Ramón Terrats,4000000.0
Étienne Capoue,1500000.0
Francis Coquelin,1500000.0
Santi Comesaña,6000000.0
Manu Trigueros,1500000.0
Denis Suárez,1500000.0
Gonçalo Guedes,15000000.0
Ilias Akhomach,15000000.0
Bertrand Traoré,9000000.0
Alexander Sørloth,25000000.0
Gerard Moreno,10000000.0
José Luis Morales,1500000.0
Giorgi Mamardashvili,35000000.0
Jaume Doménech,800000.0
Cristhian Mosquera,30000000.0
Yarek Gasiorowski,15000000.0
Cenk Özkacar,4000000.0
Mouctar Diakhaby,2000000.0
Gabriel Paulista,2000000.0
Thierry Correia,6000000.0
Dimitri Foulquier,2500000.0
Hugo Guillamón,8000000.0
Javi Guerra,20000000.0
Selim Amallah,1500000.0
Pablo Gozálbez,800000.0
Diego López,14000000.0
Fran Pérez,8000000.0
Peter Federico,3000000.0
Sergi Canós,2500000.0
Hugo Duro,16000000.0
Roman Yaremchuk,3500000.0
Alberto Marí,1500000.0
Ørjan Nyland,1400000.0
Kike Salas,10000000.0
Marcão,4000000.0
Federico Gattoni,3500000.0
Tanguy Nianzou,3000000.0
Sergio Ramos,2500000.0
Adrià Pedrosa,6000000.0
Marcos Acuña,4000000.0
Juanlu Sánchez,15000000.0
Gonzalo Montiel,10000000.0
Jesús Navas,2500000.0
