Player,Annual Wage (Euros),Weekly Wage (Euros),Squad,Age,League
Kylian Mbappé,72000000 ,1384615 ,Paris S-G,24,Ligue 1
Frenkie de Jong,37500000 ,721154 ,Barcelona,26,La Liga
Robert Lewandowski,27080000 ,520769 ,Barcelona,34,La Liga
Harry Kane,25000000 ,480769 ,Bayern Munich,30,Bundesliga
Kevin De Bruyne,24620675 ,473475 ,Manchester City,32,Premier League
Toni Kroos,24380000 ,468846 ,Real Madrid,33,La Liga
Erling Haaland,23081883 ,443882 ,Manchester City,23,Premier League
David Alaba,22500000 ,432692 ,Real Madrid,31,La Liga
Luka Modrić,21880000 ,420769 ,Real Madrid,37,La Liga
Casemiro,21543091 ,414290 ,Manchester Utd,31,Premier League
Mohamed Salah,21543091 ,414290 ,Liverpool,31,Premier League
Manuel Neuer,21000000 ,403846 ,Bayern Munich,37,Bundesliga
Raphaël Varane,20927574 ,402453 ,Manchester Utd,30,Premier League
Jan Oblak,20830000 ,400577 ,Atlético Madrid,30,La Liga
Jude Bellingham,20830000 ,400577 ,Real Madrid,20,La Liga
Vinicius Júnior,20830000 ,400577 ,Real Madrid,23,La Liga
Thomas Müller,20500000 ,394231 ,Bayern Munich,33,Bundesliga
Raheem Sterling,20004298 ,384698 ,Chelsea,28,Premier League
Leroy Sané,20000000 ,384615 ,Bayern Munich,27,Bundesliga
Ousmane Dembélé,20000000 ,384615 ,Paris S-G,26,Ligue 1
Joshua Kimmich,19500000 ,375000 ,Bayern Munich,28,Bundesliga
Lucas Hernández,19000000 ,365385 ,Paris S-G,27,Ligue 1
Serge Gnabry,18870000 ,362885 ,Bayern Munich,28,Bundesliga
İlkay Gündoğan,18750000 ,360577 ,Barcelona,32,La Liga
Marcus Rashford,18465506 ,355106 ,Manchester Utd,25,Premier League
Bernardo Silva,18465506 ,355106 ,Manchester City,28,Premier League
Jack Grealish,18465506 ,355106 ,Manchester City,27,Premier League
Leon Goretzka,18000000 ,346154 ,Bayern Munich,28,Bundesliga
Kai Havertz,17234473 ,331432 ,Arsenal,24,Premier League
Kingsley Coman,17000000 ,326923 ,Bayern Munich,27,Bundesliga
Marquinhos,16800000 ,323077 ,Paris S-G,29,Ligue 1
Federico Valverde,16670000 ,320577 ,Real Madrid,25,La Liga
Milan Škriniar,16360000 ,314615 ,Paris S-G,28,Ligue 1
Gabriel Jesus,16311197 ,313677 ,Arsenal,26,Premier League
Matthijs de Ligt,16000000 ,307692 ,Bayern Munich,23,Bundesliga
Koke,16000000 ,307692 ,Atlético Madrid,31,La Liga
Anthony Martial,15387922 ,295922 ,Manchester Utd,27,Premier League
Jadon Sancho,15387922 ,295922 ,Manchester Utd,23,Premier League
Mason Mount,15387922 ,295922 ,Manchester Utd,24,Premier League
Reece James,15387922 ,295922 ,Chelsea,23,Premier League
John Stones,15387922 ,295922 ,Manchester City,29,Premier League
Thibaut Courtois,15000000 ,288462 ,Real Madrid,31,La Liga
Declan Rice,14772405 ,284085 ,Arsenal,24,Premier League
Martin Ødegaard,14772405 ,284085 ,Arsenal,24,Premier League
Bruno Fernandes,14772405 ,284085 ,Manchester Utd,28,Premier League
Antonio Rüdiger,14580000 ,280385 ,Real Madrid,30,La Liga
Achraf Hakimi,14550000 ,279808 ,Paris S-G,24,Ligue 1
Marco Asensio,14550000 ,279808 ,Paris S-G,27,Ligue 1
Phil Foden,13849130 ,266329 ,Manchester City,23,Premier League
Jules Koundé,13550000 ,260577 ,Barcelona,24,La Liga
Virgil van Dijk,13541371 ,260411 ,Liverpool,32,Premier League
Rodri,13541371 ,260411 ,Manchester City,27,Premier League
Álvaro Morata,13540000 ,260385 ,Atlético Madrid,30,La Liga
Yannick Carrasco,13130000 ,252500 ,Atlético Madrid,29,La Liga
Dušan Vlahović,12960000 ,249231 ,Juventus,23,Serie A
Victor Osimhen,12820000 ,246538 ,Napoli,24,Serie A
Gianluigi Donnarumma,12730000 ,244808 ,Paris S-G,24,Ligue 1
Randal Kolo Muani,12730000 ,244808 ,Paris S-G,24,Ligue 1
João Cancelo,12500000 ,240385 ,Barcelona,29,La Liga
Raphinha,12500000 ,240385 ,Barcelona,26,La Liga
Antoine Griezmann,12500000 ,240385 ,Atlético Madrid,32,La Liga
Aurélien Tchouaméni,12500000 ,240385 ,Real Madrid,23,La Liga
Eduardo Camavinga,12500000 ,240385 ,Real Madrid,20,La Liga
Rodrygo,12500000 ,240385 ,Real Madrid,22,La Liga
Thomas Partey,12310338 ,236737 ,Arsenal,30,Premier League
Antony,12310338 ,236737 ,Manchester Utd,23,Premier League
Thiago Alcántara,12310338 ,236737 ,Liverpool,32,Premier League
Ben Chilwell,12310338 ,236737 ,Chelsea,26,Premier League
Wesley Fofana,12310338 ,236737 ,Chelsea,23,Premier League
Joško Gvardiol,12310338 ,236737 ,Manchester City,21,Premier League
Wojciech Szczęsny,12040000 ,231538 ,Juventus,33,Serie A
Bukayo Saka,12002579 ,230819 ,Arsenal,21,Premier League
Christopher Nkunku,12002579 ,230819 ,Chelsea,25,Premier League
Kim Min-jae,12000000 ,230769 ,Bayern Munich,26,Bundesliga
Saúl Ñíguez,12000000 ,230769 ,Atlético Madrid,28,La Liga
William Saliba,11694821 ,224900 ,Arsenal,22,Premier League
Harry Maguire,11694821 ,224900 ,Manchester Utd,30,Premier League
Son Heung-min,11694821 ,224900 ,Tottenham,31,Premier League
Nacho,11460000 ,220385 ,Real Madrid,33,La Liga
Iñaki Williams,11400000 ,219231 ,Athletic Club,29,La Liga
Alphonso Davies,11250000 ,216346 ,Bayern Munich,22,Bundesliga
Alex Sandro,11110000 ,213654 ,Juventus,32,Serie A
Hakan Çalhanoğlu,11110000 ,213654 ,Inter,29,Serie A
Lautaro Martínez,11110000 ,213654 ,Inter,25,Serie A
Gabriel Martinelli,11079304 ,213064 ,Arsenal,22,Premier League
Ivan Perišić,11079304 ,213064 ,Tottenham,34,Premier League
Trent Alexander-Arnold,11079304 ,213064 ,Liverpool,24,Premier League
Enzo Fernández,11079304 ,213064 ,Chelsea,22,Premier League
Manuel Akanji,11079304 ,213064 ,Manchester City,28,Premier League
Rúben Dias,11079304 ,213064 ,Manchester City,26,Premier League
Sébastien Haller,11000000 ,211538 ,Dortmund,29,Bundesliga
Keylor Navas,10910000 ,209808 ,Paris S-G,36,Ligue 1
Marc Cucurella,10771545 ,207145 ,Chelsea,25,Premier League
Kyle Walker,10771545 ,207145 ,Manchester City,33,Premier League
James Maddison,10463787 ,201227 ,Tottenham,26,Premier League
Nico Williams,10420000 ,200385 ,Athletic Club,21,La Liga
Dani Ceballos,10420000 ,200385 ,Real Madrid,26,La Liga
Dani Carvajal,10420000 ,200385 ,Real Madrid,31,La Liga
Ferland Mendy,10420000 ,200385 ,Real Madrid,28,La Liga
Alessandro Bastoni,10190000 ,195962 ,Inter,24,Serie A
Cristian Romero,10156028 ,195308 ,Tottenham,25,Premier League
Timo Werner,10156028 ,195308 ,Tottenham,27,Premier League
Dayot Upamecano,10000000 ,192308 ,Bayern Munich,24,Bundesliga
Timo Werner,10000000 ,192308 ,RB Leipzig,27,Bundesliga
Niklas Süle,10000000 ,192308 ,Dortmund,27,Bundesliga
Ferrán Torres,10000000 ,192308 ,Barcelona,23,La Liga
Bruno Guimarães,9848270 ,189390 ,Newcastle Utd,25,Premier League
Ansu Fati,9848270 ,189390 ,Brighton,20,Premier League
Nathan Aké,9848270 ,189390 ,Manchester City,28,Premier League
Dani Olmo,9430000 ,181346 ,RB Leipzig,25,Bundesliga
Iñigo Martínez,9380000 ,180385 ,Barcelona,32,La Liga
Pedri,9380000 ,180385 ,Barcelona,20,La Liga
Lucas Vázquez,9380000 ,180385 ,Real Madrid,32,La Liga
Gleison Bremer,9260000 ,178077 ,Juventus,26,Serie A
Federico Chiesa,9260000 ,178077 ,Juventus,25,Serie A
Nicolò Barella,9260000 ,178077 ,Inter,26,Serie A
Oleksandr Zinchenko,9232753 ,177553 ,Arsenal,26,Premier League
